"group","hour","avg_temperature","std","n"
"HFR",0,37.5836978131213,0.759306564110953,503
"HFR",1,37.4255319148936,0.679702073091675,235
"HFR",2,37.5769230769231,0.677554345547221,312
"HFR",3,37.582332155477,0.664157496428106,283
"HFR",4,37.5997005988024,0.643633571493901,334
"HFR",5,37.5208459214502,0.559182745490709,331
"HFR",6,37.5065527065527,0.632715076419369,351
"HFR",7,37.5059936908517,0.614329448135237,317
"HFR",8,37.4846875,0.569427388646207,320
"HFR",9,37.3788856304985,0.583720260710127,341
"HFR",10,37.3794117647059,0.673773073395973,340
"HFR",11,37.3383870967742,0.559395170221617,310
"HFR",12,37.3363344051447,0.663372179928274,311
"HFR",13,37.2493902439024,0.628915570848909,328
"HFR",14,37.1888235294118,0.63774475759971,340
"HFR",15,37.1423197492163,0.652085872787661,319
"HFR",16,37.1283439490446,0.600579429625381,314
"HFR",17,37.0881097560976,0.594376367467804,328
"HFR",18,37.06391184573,0.625598597718238,363
"HFR",19,37.0396226415094,0.615675246027415,318
"HFR",20,37.0207920792079,0.668642516029073,303
"HFR",21,36.9517133956386,0.559859239096084,321
"HFR",22,36.8681967213115,0.486669360486751,305
"HFR",23,36.8917491749175,0.585954174397922,303
"HFR",24,36.8883333333333,0.547811598435225,300
"HFR",25,36.9022082018927,0.537894554212537,317
"HFR",26,36.7819484240688,0.490238843594692,349
"HFR",27,36.7865051903114,0.512812811859931,289
"HFR",28,36.8135231316726,0.516196986553874,281
"HFR",29,36.7702875399361,0.507866559931655,313
"HFR",30,36.7065420560748,0.561905968785712,321
"HFR",31,36.7534246575342,0.491461720961038,292
"HFR",32,36.713309352518,0.527581346562532,278
"HFR",33,36.6531147540984,0.464246492573855,305
"HFR",34,36.6284345047923,0.608742221840869,313
"HFR",35,36.6386759581882,0.494517837022343,287
"HFR",36,36.6164835164835,0.471370904976301,273
"HFR",37,36.637417218543,0.430124703506232,302
"HFR",38,36.612462006079,0.494909777978417,329
"HFR",39,36.6034602076125,0.430747653442001,289
"HFR",40,36.6318181818182,0.433995935567736,286
"HFR",41,36.5591397849462,0.478134088942199,279
"HFR",42,36.6062111801242,0.540703296598511,322
"HFR",43,36.6052083333333,0.480860826171504,288
"HFR",44,36.6023529411765,0.441269590296063,255
"HFR",45,36.5776699029126,0.452539452000815,309
"HFR",46,36.6003225806452,0.504638573416387,310
"HFR",47,36.5949494949495,0.409360180740332,297
"HFR",48,36.5411149825784,0.443424543630163,287
"HFR",49,36.5749103942652,0.473713223966394,279
"HFR",50,36.5684745762712,0.50600749355628,295
"HFR",51,36.5650557620818,0.388027561740185,269
"HFR",52,36.5513513513514,0.486033730235322,259
"HFR",53,36.5491582491582,0.447146695660571,297
"HFR",54,36.5203278688525,0.516548410673633,305
"HFR",55,36.4847014925373,0.499165131156572,268
"HFR",56,36.4992217898833,0.595621538414576,257
"HFR",57,36.5011538461538,0.525230796286156,260
"HFR",58,36.5249158249158,0.473113690180874,297
"HFR",59,36.5210526315789,0.459001074788265,285
"HFR",60,36.4570895522388,0.539303649540117,268
"HFR",61,36.4964980544747,0.43105452204189,257
"HFR",62,36.529,0.500159506330306,300
